paragraph_index,text,style,alignment,font_name,font_size,font_bold,font_italic,run_index,run_text,run_font_name,run_font_size,run_bold,run_italic
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,3, ,Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,4,in,Inherited,,True,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,5, ,Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,6,two distinct ways,Inherited,,True,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,7,": first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses",Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,8,.,Inherited,,,
4,"Digital Technology Partner Ltd is an innovative AI solutions provider based in Aberdeen, Scotland, with a mission to transform how small and medium enterprises (SMEs) achieve operational excellence. Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses.
",Normal,None,,,,,9,"
",Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,0,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a ",Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,1,risk-managed stage-gate methodology,Inherited,,True,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,2, that minimises risks while delivering measurable ,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,3,return on investment,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,4, ,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,5,(ROI) ,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,6,at every stage,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,7, of development,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,8,.,Inherited,,,
5,"The company operates at the nexus of a rapidly growing market, where SMEs represent a £50 billion untapped opportunity for AI adoption. These businesses, often constrained by limited technical expertise and resources, face mounting pressure to optimise efficiency and scale sustainably. Digital Technology Partner bridges this gap by offering bespoke, scalable AI applications, underpinned by a risk-managed stage-gate methodology that minimises risks while delivering measurable return on investment (ROI) at every stage of development.
",Normal,None,,,,,9,"
",Inherited,,,
6,Our Offering Includes:,Normal,None,,,,,0,Our Offering Includes:,Inherited,,True,
7,"Custom AI Solutions: Tailored applications addressing specific challenges in industries such as energy logistics, manufacturing, and healthcare.",Normal,None,,,,,0,Custom AI Solutions:,Inherited,,True,
7,"Custom AI Solutions: Tailored applications addressing specific challenges in industries such as energy logistics, manufacturing, and healthcare.",Normal,None,,,,,1," Tailored applications addressing specific challenges in industries such as energy logistics, manufacturing, and healthcare.",Inherited,,,
8,Advisory Services: Workshops and strategic consulting to guide clients through AI adoption and integration.,Normal,None,,,,,0,Advisory Services:,Inherited,,True,
8,Advisory Services: Workshops and strategic consulting to guide clients through AI adoption and integration.,Normal,None,,,,,1, Workshops and strategic consulting to guide clients through AI adoption and integration.,Inherited,,,
9,"Ongoing Support: Subscription-based services for solution optimisation and scalability.
",Normal,None,,,,,0,Ongoing Support:,Inherited,,True,
9,"Ongoing Support: Subscription-based services for solution optimisation and scalability.
",Normal,None,,,,,1, Subscription-based services for solution optimisation and scalability.,Inherited,,,
9,"Ongoing Support: Subscription-based services for solution optimisation and scalability.
",Normal,None,,,,,2,"
",Inherited,,,
10,Key Achievements:,Normal,None,,,,,0,Key Achievements:,Inherited,,True,
11,"Secured £30,000 in initial contracts within the first 3 months, delivering successful solutions in the energy and transport sectors.",Normal,None,,,,,0,"Secured £30,000 in initial contracts within the first 3 months, delivering successful solutions in the energy and transport sectors.",Inherited,,,
12,"Established strategic partnerships with leading AI technology vendors, ensuring access to cutting-edge tools.",Normal,None,,,,,0,"Established strategic partnerships with leading AI technology vendors, ensuring access to cutting-edge tools.",Inherited,,,
13,"Positioned to generate £150,000 in Year 1 revenue with a projected 50% net margin by Year 3.",Normal,None,,,,,0,"Positioned to generate £150,000 in Year 1 revenue with a projected 50% net margin by Year 3.",Inherited,,,
14,,Normal,None,,,,,0,,Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,0,Why Digital Technology Partner?,Inherited,,True,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,1, ,Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,2,"
",Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,3,Digital Technology Partner leverages AI in two distinct ways: ,Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,4,first,Inherited,,True,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,5,", using AI to streamline our software development process for greater efficiency and cost savings, and ",Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,6,second,Inherited,,True,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,7,", creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.",Inherited,,,
15,"Why Digital Technology Partner? 
Digital Technology Partner leverages AI in two distinct ways: first, using AI to streamline our software development process for greater efficiency and cost savings, and second, creating powerful AI-driven solutions that transform our clients' businesses. This innovative approach perfectly aligns with SME needs for rapid, cost-effective digital transformation. Our structured stage-gate process delivers clear milestones and actionable insights, empowering clients to build strong business cases and secure stakeholder buy-in for every phase of development.
",Normal,None,,,,,8,"
",Inherited,,,
16,"Market Potential: With 5.6 million SMEs in the UK alone, the addressable market for Digital Technology Partner is vast. AI adoption among SMEs is expected to grow at a CAGR of 30% through 2030, fuelled by increasing accessibility and affordability of AI technologies. This presents a unique opportunity for Digital Technology Partner to lead this transformative wave, expanding its reach across industries and geographies.
",Normal,None,,,,,0,Market Potential:,Inherited,,True,
16,"Market Potential: With 5.6 million SMEs in the UK alone, the addressable market for Digital Technology Partner is vast. AI adoption among SMEs is expected to grow at a CAGR of 30% through 2030, fuelled by increasing accessibility and affordability of AI technologies. This presents a unique opportunity for Digital Technology Partner to lead this transformative wave, expanding its reach across industries and geographies.
",Normal,None,,,,,1," With 5.6 million SMEs in the UK alone, the addressable market for Digital Technology Partner is vast. AI adoption among SMEs is expected to grow at a CAGR of 30% through 2030, fuelled by increasing accessibility and affordability of AI technologies. This presents a unique opportunity for Digital Technology Partner to lead this transformative wave, expanding its reach across industries and geographies.",Inherited,,,
16,"Market Potential: With 5.6 million SMEs in the UK alone, the addressable market for Digital Technology Partner is vast. AI adoption among SMEs is expected to grow at a CAGR of 30% through 2030, fuelled by increasing accessibility and affordability of AI technologies. This presents a unique opportunity for Digital Technology Partner to lead this transformative wave, expanding its reach across industries and geographies.
",Normal,None,,,,,2,"
",Inherited,,,
17,"Strategic Vision:
Our short-term objective is to secure £150,000 in revenue by delivering 10 high-impact projects in Year 1. By Year 3, we aim to achieve £500,000 in revenue while expanding into new sectors such as healthcare and retail. Long-term, we envision becoming the preferred AI partner for SMEs, setting the stage for a high-value acquisition within 3-5 years.
",Normal,None,,,,,0,Strategic Vision:,Inherited,,True,
17,"Strategic Vision:
Our short-term objective is to secure £150,000 in revenue by delivering 10 high-impact projects in Year 1. By Year 3, we aim to achieve £500,000 in revenue while expanding into new sectors such as healthcare and retail. Long-term, we envision becoming the preferred AI partner for SMEs, setting the stage for a high-value acquisition within 3-5 years.
",Normal,None,,,,,1,"
Our short-term objective is to secure £150,000 in revenue by delivering 10 high-impact projects in Year 1. By Year 3, we aim to achieve £500,000 in revenue while expanding into new sectors such as healthcare and retail. Long-term, we envision becoming the preferred AI partner for SMEs, setting the stage for a high-value acquisition within 3-5 years.",Inherited,,,
17,"Strategic Vision:
Our short-term objective is to secure £150,000 in revenue by delivering 10 high-impact projects in Year 1. By Year 3, we aim to achieve £500,000 in revenue while expanding into new sectors such as healthcare and retail. Long-term, we envision becoming the preferred AI partner for SMEs, setting the stage for a high-value acquisition within 3-5 years.
",Normal,None,,,,,2,"
",Inherited,,,
18,"In Summary:
Digital Technology Partner is not just a technology provider but a transformation partner for SMEs. By delivering innovative, scalable, and cost-effective AI solutions, we are poised to redefine operational efficiency for businesses while driving measurable impact. With a strong foundation, experienced leadership, and a clear growth roadmap, Digital Technology Partner is ready to lead the next era of AI-powered business transformation.

",Normal,None,,,,,0,In Summary:,Inherited,,True,
18,"In Summary:
Digital Technology Partner is not just a technology provider but a transformation partner for SMEs. By delivering innovative, scalable, and cost-effective AI solutions, we are poised to redefine operational efficiency for businesses while driving measurable impact. With a strong foundation, experienced leadership, and a clear growth roadmap, Digital Technology Partner is ready to lead the next era of AI-powered business transformation.

",Normal,None,,,,,1,"
Digital Technology Partner is not just a technology provider but a transformation partner for SMEs. By delivering innovative, scalable, and cost-effective AI solutions, we are poised to redefine operational efficiency for businesses while driving measurable impact. With a strong foundation, experienced leadership, and a clear growth roadmap, Digital Technology Partner is ready to lead the next era of AI-powered business transformation.",Inherited,,,
18,"In Summary:
Digital Technology Partner is not just a technology provider but a transformation partner for SMEs. By delivering innovative, scalable, and cost-effective AI solutions, we are poised to redefine operational efficiency for businesses while driving measurable impact. With a strong foundation, experienced leadership, and a clear growth roadmap, Digital Technology Partner is ready to lead the next era of AI-powered business transformation.

",Normal,None,,,,,2,"
",Inherited,,,
18,"In Summary:
Digital Technology Partner is not just a technology provider but a transformation partner for SMEs. By delivering innovative, scalable, and cost-effective AI solutions, we are poised to redefine operational efficiency for businesses while driving measurable impact. With a strong foundation, experienced leadership, and a clear growth roadmap, Digital Technology Partner is ready to lead the next era of AI-powered business transformation.

",Normal,None,,,,,3,"
",Inherited,,,
19,,Normal,None,,,,,0,,Inherited,,,
20,2. Business Description,Heading 1,None,,16.0,True,,0,,Inherited,,,
20,2. Business Description,Heading 1,None,,16.0,True,,1,2. Business Description,Inherited,,,
22,Industry Background,Normal,None,,,,,0,Industry Background,Inherited,,True,
23,"The global AI market was valued at £300 billion in 2024, projected to grow at a CAGR of 35% through 2030. AI adoption is expanding beyond large corporations, with SMEs representing an emerging growth segment due to increasing availability of affordable, scalable solutions.",Normal,None,,,,,0,"The global AI market was valued at £300 billion in 2024, projected to grow at a CAGR of 35% through 2030. AI adoption is expanding beyond large corporations, with SMEs representing an emerging growth segment due to increasing availability of affordable, scalable solutions.",Inherited,,,
24,"
Key Trends:",Normal,None,,,,,0,"
",Inherited,,,
24,"
Key Trends:",Normal,None,,,,,1,Key Trends:,Inherited,,True,
25,Custom AI Solutions: Shift toward bespoke applications tailored to specific industries.,Normal,None,,,,,0,Custom AI Solutions:,Inherited,,True,
25,Custom AI Solutions: Shift toward bespoke applications tailored to specific industries.,Normal,None,,,,,1, Shift toward bespoke applications tailored to specific industries.,Inherited,,,
26,"Ethical AI: Increasing demand for transparent, responsible AI implementations.",Normal,None,,,,,0,Ethical AI:,Inherited,,True,
26,"Ethical AI: Increasing demand for transparent, responsible AI implementations.",Normal,None,,,,,1," Increasing demand for transparent, responsible AI implementations.",Inherited,,,
27,Generative AI: Tools like GPT-4 are enabling personalised customer interactions and workflow automation.,Normal,None,,,,,0,Generative AI:,Inherited,,True,
27,Generative AI: Tools like GPT-4 are enabling personalised customer interactions and workflow automation.,Normal,None,,,,,1, Tools like GPT-4 are enabling personalised customer interactions and workflow automation.,Inherited,,,
28,Major Players:,Normal,None,,,,,0,Major Players:,Inherited,,True,
29,"Large Corporations: Google, Meta, and Microsoft dominate with general-purpose AI platforms.",Normal,None,,,,,0,Large Corporations:,Inherited,,True,
29,"Large Corporations: Google, Meta, and Microsoft dominate with general-purpose AI platforms.",Normal,None,,,,,1," Google, ",Inherited,,,
29,"Large Corporations: Google, Meta, and Microsoft dominate with general-purpose AI platforms.",Normal,None,,,,,2,Meta,Inherited,,,
29,"Large Corporations: Google, Meta, and Microsoft dominate with general-purpose AI platforms.",Normal,None,,,,,3,", and Microsoft dominate with general-purpose AI platforms.",Inherited,,,
30,"Startups: Innovators focused on specific verticals, such as supply chain optimisation and predictive analytics.",Normal,None,,,,,0,Startups:,Inherited,,True,
30,"Startups: Innovators focused on specific verticals, such as supply chain optimisation and predictive analytics.",Normal,None,,,,,1," Innovators focused on specific verticals, such as supply chain optimisation and predictive analytics.",Inherited,,,
31,Industry Challenges:,Normal,None,,,,,0,Industry Challenges:,Inherited,,True,
32,Technical barriers for SMEs.,Normal,None,,,,,0,T,Inherited,,,
32,Technical barriers for SMEs.,Normal,None,,,,,1,echnical barriers for SMEs.,Inherited,,,
33,Regulatory uncertainty surrounding data privacy and AI ethics.,Normal,None,,,,,0,Regulatory uncertainty surrounding data privacy and AI ethics.,Inherited,,,
34,Talent shortages in AI development.,Normal,None,,,,,0,Talent shortages in AI development.,Inherited,,,
35,,Normal,None,,,,,0,,Inherited,,,
36,"
Business Model",Normal,None,,,,,0,"
",Inherited,,True,
36,"
Business Model",Normal,None,,,,,1,Business Model,Inherited,,True,
37,"Digital Technology Partner operates as a hybrid consultancy and technology provider, leveraging AI internally and externally to achieve three core objectives:
",Normal,None,,,,,0,"Digital Technology Partner operates as a hybrid consultancy and technology provider, leveraging AI internally and externally to achieve three core objectives:",Inherited,,,
37,"Digital Technology Partner operates as a hybrid consultancy and technology provider, leveraging AI internally and externally to achieve three core objectives:
",Normal,None,,,,,1,"
",Inherited,,,
38,"Faster, cost-efficient delivery: Using AI internally reduces development timelines by 30–40%.",Normal,None,,,,,0,"Faster, cost-efficient delivery:",Inherited,,True,
38,"Faster, cost-efficient delivery: Using AI internally reduces development timelines by 30–40%.",Normal,None,,,,,1, Using AI internally reduces development timelines by 30–40%.,Inherited,,,
39,"Client satisfaction: Delivering tailored, scalable solutions that provide measurable ROI.",Normal,None,,,,,0,Client satisfaction:,Inherited,,True,
39,"Client satisfaction: Delivering tailored, scalable solutions that provide measurable ROI.",Normal,None,,,,,1," Delivering tailored, scalable solutions that provide measurable ROI.",Inherited,,,
40,Recurring revenue: Building long-term relationships through subscriptions and advisory services.,Normal,None,,,,,0,Recurring revenue:,Inherited,,True,
40,Recurring revenue: Building long-term relationships through subscriptions and advisory services.,Normal,None,,,,,1, Building long-term relationships through subscriptions and advisory services.,Inherited,,,
41,Revenue Streams:,Normal,None,,,,,0,Revenue Streams:,Inherited,,True,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,0,Project-Based Fees:,Inherited,,True,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,1, Charged for ,Inherited,,,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,2,D,Inherited,,,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,3,"iscovery, PoC, MVP, and ",Inherited,,,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,4,P,Inherited,,,
42,"Project-Based Fees: Charged for Discovery, PoC, MVP, and Pilot phases.",Normal,None,,,,,5,ilot phases.,Inherited,,,
43,"Subscription Services: Post-launch maintenance, updates, and performance monitoring.",Normal,None,,,,,0,Subscription Services:,Inherited,,True,
43,"Subscription Services: Post-launch maintenance, updates, and performance monitoring.",Normal,None,,,,,1," Post-launch maintenance, updates, and performance monitoring.",Inherited,,,
44,Consulting Fees: Workshops and strategic advice on digital transformation using AI.,Normal,None,,,,,0,Consulting Fees:,Inherited,,True,
44,Consulting Fees: Workshops and strategic advice on digital transformation using AI.,Normal,None,,,,,1, Workshops and strategic advice on digital transformation using AI.,Inherited,,,
45,Cost Structure:,Normal,None,,,,,0,Cost Structure:,Inherited,,True,
46,Talent acquisition (30% of costs).,Normal,None,,,,,0,Talent acquisition (30% of costs).,Inherited,,,
47,AI tools and technology licences (25%).,Normal,None,,,,,0,AI tools and technology licences (25%).,Inherited,,,
48,Marketing and outreach (20%).,Normal,None,,,,,0,Marketing and outreach (20%).,Inherited,,,
49,Operational expenses and infrastructure (25%).,Normal,None,,,,,0,Operational expenses and infrastructure (25%).,Inherited,,,
50,,Normal,None,,,,,0,,Inherited,,,
52,Company History and Traction ,Normal,None,,,,,0,Company History,Inherited,,True,
52,Company History and Traction ,Normal,None,,,,,1, and Traction ,Inherited,,True,
53,"2024: Founded in Aberdeen, focusing on underserved SME markets.",Normal,None,,,,,0,2024:,Inherited,,True,
53,"2024: Founded in Aberdeen, focusing on underserved SME markets.",Normal,None,,,,,1," Founded in Aberdeen, focusing on underserved SME markets.",Inherited,,,
54,2025 Q1: Delivered successful pilot projects for logistics and energy sector clients.,Normal,None,,,,,0,2025 Q1:,Inherited,,True,
54,2025 Q1: Delivered successful pilot projects for logistics and energy sector clients.,Normal,None,,,,,1, Delivered successful pilot projects for logistics and ,Inherited,,,
54,2025 Q1: Delivered successful pilot projects for logistics and energy sector clients.,Normal,None,,,,,2,energy sector,Inherited,,,
54,2025 Q1: Delivered successful pilot projects for logistics and energy sector clients.,Normal,None,,,,,3, clients.,Inherited,,,
55,2025 Q2: Signed partnerships with leading AI vendors to enhance solution scalability.,Normal,None,,,,,0,2025 Q2:,Inherited,,True,
55,2025 Q2: Signed partnerships with leading AI vendors to enhance solution scalability.,Normal,None,,,,,1, Signed partnerships with leading AI vendors to enhance solution scalability.,Inherited,,,
56,,Normal,None,,,,,0,,Inherited,,,
58,Legal Structure,Normal,None,,,,,0,Legal Structure,Inherited,,True,
59,"DTP is a private limited company (Ltd) in the UK, offering limited liability to founders and flexibility for equity-based funding rounds.",Normal,None,,,,,0,DTP is a ,Inherited,,,
59,"DTP is a private limited company (Ltd) in the UK, offering limited liability to founders and flexibility for equity-based funding rounds.",Normal,None,,,,,1,private limited company (Ltd),Inherited,,True,
59,"DTP is a private limited company (Ltd) in the UK, offering limited liability to founders and flexibility for equity-based funding rounds.",Normal,None,,,,,2," in the UK, offering limited liability to founders and flexibility for equity-based funding rounds.",Inherited,,,
60,,Normal,None,,,,,0,,Inherited,,,
62,Market Opportunity,Normal,None,,,,,0,Market Opportunity,Inherited,,True,
63,"With 5.6 million SMEs in the UK, representing 99% of all businesses, the addressable market for DTP’s AI solutions is substantial.",Normal,None,,,,,0,"With 5.6 million SMEs in the UK, representing 99% of all businesses, the addressable market for DTP’s AI solutions is substantial.",Inherited,,,
64,"
Key Gaps Identified:",Normal,None,,,,,0,"
",Inherited,,,
64,"
Key Gaps Identified:",Normal,None,,,,,1,Key Gaps Identified:,Inherited,,True,
